frp
167.3
316.5
52.5
29.2
77.7
66.4
59.9
51.1
79.7
59.8
51.7
96.1
123.7
95.0
78.9
90.1
104.2
54.2
53.9
72.6
84.9
45.8
110.3
56.7
64.5
66.5
125.8
131.8
95.3
52.4
59.3
106.7
51.2
115.2
72.0
60.7
50.4
71.3
51.0
51.8
68.3
45.8
87.2
57.1
69.2
76.0
70.1
104.4
40.0
75.4
56.0
57.9
54.3
96.2
69.4
48.3
68.0
52.6
56.6
124.6
68.8
50.2
51.0
118.0
68.2
73.6
79.5
84.6
124.1
113.2
123.3
100.6
128.9
105.1
53.6
48.9
57.1
65.9
59.3
63.3
57.3
59.8
81.0
57.5
59.5
131.0
56.3
74.8
53.1
44.2
212.1
91.4
50.8
73.5
61.7
44.2
59.1
49.4
73.5
143.6
71.4
51.7
70.6
50.0
75.2
103.1
51.2
116.3
110.5
76.9
57.2
72.1
49.2
46.5
50.0
111.3
74.1
114.2
85.3
71.2
85.3
159.9
105.9
85.3
45.7
66.1
63.5
60.4
46.9
44.1
47.1
76.7
135.6
230.3
59.4
89.3
56.6
53.6
53.0
53.0
72.8
54.6
53.4
81.4
124.5
103.4
85.5
81.4
91.2
49.7
57.1
82.3
102.9
91.8
103.4
112.2
106.8
87.2
49.1
56.1
89.3
111.1
78.9
57.6
45.3
83.7
48.5
48.6
51.1
78.0
143.3
226.4
461.9
91.5
48.4
73.0
73.8
145.9
56.6
112.1
58.2
71.8
54.9
100.9
75.7
59.8
87.4
56.5
63.1
147.7
77.1
54.3
91.7
58.0
61.4
70.5
117.2
103.6
123.3
93.4
135.6
108.5
53.8
82.1
70.5
59.0
52.9
72.8
54.7
46.3
71.6
53.1
48.5
67.0
294.1
113.3
51.8
75.4
59.3
51.0
78.5
134.6
62.0
71.0
74.5
107.7
107.1
97.6
74.6
52.3
71.4
49.6
103.2
75.5
167.4
118.1
59.5
50.9
68.8
114.7
108.3
83.1
52.9
149.8
241.7
50.7
76.2
57.1
48.2
55.3
61.7
58.7
50.7
75.4
104.9
88.3
90.3
91.0
89.4
57.9
47.4
73.5
104.2
92.9
88.9
114.2
102.6
95.2
50.1
67.2
115.0
76.3
51.7
48.9
62.8
53.3
53.6
51.2
174.6
236.6
417.3
589.2
74.4
80.2
79.5
118.0
142.8
72.0
62.5
62.6
109.7
70.7
61.5
95.1
65.1
143.0
72.4
49.7
74.2
49.8
68.0
65.3
113.1
105.4
127.7
93.3
141.5
113.5
60.9
60.5
56.6
59.5
77.2
99.5
69.9
51.8
80.3
301.8
95.5
48.2
71.8
56.6
56.7
71.5
97.8
55.3
67.0
48.9
59.7
66.8
103.6
47.6
114.4
97.1
63.9
50.0
62.0
47.9
77.4
62.9
75.7
59.2
55.1
61.4
80.2
70.9
54.0
55.4
46.4
51.6
44.5
50.2
135.4
206.4
48.3
70.8
56.6
53.9
47.4
165.8
48.3
60.5
57.8
72.6
45.6
69.0
99.0
84.8
84.3
87.8
84.4
55.3
52.3
83.4
96.0
83.7
89.9
108.0
105.4
83.7
44.4
59.6
100.9
72.0
44.4
59.6
52.5
49.2
50.0
169.0
178.5
421.2
421.9
72.2
71.7
63.1
105.6
133.8
68.0
59.9
62.5
109.7
68.0
62.2
99.6
67.2
153.1
76.3
79.4
52.9
63.0
61.2
101.0
102.8
50.8
116.5
87.7
49.9
127.5
107.7
52.2
53.2
49.9
53.4
72.2
50.3
81.2
70.0
53.1
64.4
249.2
87.4
72.2
