lat,lon,frp
-12.0948,-54.5908,101.7
-12.1184,-54.2398,109.6
-12.1374,-54.2379,88.1
-12.4132,-64.2615,49.5
-13.2675,-61.6553,50.7
-13.2677,-61.6358,88.7
-13.2678,-61.6164,158.8
-13.268,-61.597,70.1
-13.2865,-61.654,37.1
-13.2867,-61.6346,91.9
-13.2869,-61.6151,76.3
-13.3062,-61.575,50.3
-13.3064,-61.5555,70.5
-3.2199,-54.3038,44
-3.22,-54.2837,50
-3.2382,-54.3233,33.4
-3.2383,-54.3033,38.7
-3.2524,-50.5993,61.1
-3.3059,-46.8689,50.5
-3.3245,-46.8681,289.2
-3.3246,-46.8461,207.3
-3.3431,-46.8674,123.7
-3.3432,-46.8454,84.6
-3.6239,-50.1252,50.1
-4.2429,-48.5474,59.5
-4.5255,-47.8206,58.9
-4.8227,-47.827,71.6
-4.9138,-50.9519,85
-4.9323,-50.9511,60.8
-6.803,-59.2079,33.8
-6.8031,-59.1886,31.7
-6.8214,-59.2072,47.7
-6.8215,-59.1879,46.3
-7.688,-67.1262,67.2
-9.5058,-65.5892,63.5
-2.9945,-50.4816,125.7
-2.9946,-50.4606,104.8
-3.013,-50.481,52.5
-3.013,-50.4601,58.9
-3.22,-54.2837,122.9
-3.22,-54.2636,100.8
-3.234,-50.5999,151.5
-3.234,-50.5789,61.8
-3.2383,-54.3033,72.3
-3.2383,-54.2832,93.3
-3.2524,-50.5993,87.8
-4.0374,-48.8354,53
-4.0814,-51.0292,53.7
-4.2614,-48.5465,67.5
-4.442,-46.3538,52
-4.4421,-46.3316,60.6
-4.4606,-46.3528,63.6
-4.4607,-46.3306,57.8
-4.4492,-54.9864,29
-4.4676,-54.9858,28.7
-6.7445,-49.4748,58.4
-6.7632,-49.4736,74.6
-6.9585,-55.1758,60.2
-7.472,-49.486,28.3
-7.9905,-71.5085,45.5
-8.5039,-54.7616,63.9
-8.7808,-49.6341,77.7
-8.7811,-49.6127,106.6
-8.7999,-49.611,63.8
-8.9967,-60.5916,70.6
-9.0153,-60.5907,107.5
-9.1254,-67.9247,63.2
-9.6662,-67.0759,59.1
-9.7769,-60.7828,68.4
-13.2452,-56.7965,107.2
-13.2455,-56.7763,73.6
-13.264,-56.8149,98.1
-13.2643,-56.7947,868.1
-13.2646,-56.7746,556.7
-13.2831,-56.8131,76.6
-13.2834,-56.7929,348.8
-13.2836,-56.7728,201.9
-2.9945,-50.4816,133.9
-2.9946,-50.4606,125.2
-3.013,-50.481,158.2
-3.013,-50.4601,114.8
-3.2199,-54.3038,67.3
-3.22,-54.2837,145.9
-3.22,-54.2636,130.4
-3.234,-50.5999,148.7
-3.234,-50.5789,80.6
-3.2383,-54.3033,67.5
-3.2383,-54.2832,66.4
-3.2524,-50.5993,44.4
-4.0374,-48.8354,54
-4.0814,-51.0292,45.5
-4.2429,-48.5474,48.9
-4.4607,-46.3306,69.5
-4.4676,-54.9858,40
-6.7632,-49.4736,85.4
-8.7811,-49.6127,87.2
-8.7996,-49.6324,61.6
-8.7999,-49.611,78.2
-8.9967,-60.5916,80.3
-9.0153,-60.5907,86.6
-9.1254,-67.9247,64.2
-9.7769,-60.7828,61.8
-9.8992,-59.4608,67.8
-11.7686,-64.9373,69.3
-13.2452,-56.7965,101.5
-13.2455,-56.7763,73.2
-13.264,-56.8149,93.9
-13.2643,-56.7947,598.7
