lat;lon;frp
-9692700;-53637200;97.6
-9683500;-58459300;74.6
-9683700;-58439700;52.3
-9702200;-58458200;71.4
-9787900;-53506300;49.6
-9779300;-63169500;103.2
-9779400;-63150500;75.5
-9797900;-63168600;167.4
-9798100;-63149700;118.1
-9898600;-57383100;59.5
-9917300;-57381900;50.9
-10621200;-54601600;68.8
-10621500;-54581200;114.7
-10909300;-54127600;108.3
-10909500;-54107100;83.1
-13239800;-54371600;52.9
-3076100;-59432600;149.8
-3076200;-59413400;241.7
-3094400;-59432200;50.7
-3094400;-59413100;76.2
-4301200;-48091700;57.1
-5124000;-60282500;48.2
-5234800;-60107500;55.3
-5307800;-60200800;61.7
-6429800;-60049100;58.7
-6672800;-63169500;50.7
-6710000;-59346700;75.4
-6710100;-59327400;104.9
-6710200;-59308100;88.3
-6728400;-59346000;90.3
-6728500;-59326700;91.0
-6728600;-59307400;89.4
-6966600;-59625200;57.9
-7023400;-62933100;47.4
-7041800;-62932500;73.5
-7098100;-59234300;104.2
-7182000;-60690400;92.9
-7182200;-60671300;88.9
-7200500;-60689700;114.2
-7200600;-60670600;102.6
-7311600;-60628000;95.2
-7403800;-64365600;50.1
-7403900;-64346900;67.2
-7422300;-64346400;115.0
-7422400;-64327700;76.3
-7585100;-61228000;51.7
-7610800;-63403200;48.9
-7993600;-49658500;62.8
-7960500;-63598300;53.3
-8130700;-54846400;53.6
-8204400;-62873500;51.2
-8408500;-62752400;174.6
-8408600;-62733500;236.6
-8427000;-62751700;417.3
-8427100;-62732700;589.2
-8503300;-54822200;74.4
-8591800;-67141800;80.2
-8610100;-67196900;79.5
-8631700;-62573200;118.0
-8650200;-62572400;142.8
-8854800;-62450300;72.0
-8855000;-62431300;62.5
-8873500;-62430500;62.6
-8873600;-62411500;109.7
-8873700;-62392500;70.7
-8892100;-62429700;61.5
-8892200;-62410700;95.1
-8907700;-66725400;65.1
-8907800;-66706900;143.0
-8907900;-66688300;72.4
-8929100;-62447100;49.7
-8926300;-66706400;74.2
-8926400;-66687800;49.8
-8947600;-62446400;68.0
-8948100;-62370400;65.3
-8966500;-62388600;113.1
-8966600;-62369600;105.4
-9040800;-65884200;127.7
-9040900;-65865500;93.3
-9059400;-65883600;141.5
-9059500;-65865000;113.5
-9121500;-61371700;60.9
-9121600;-61352600;60.5
-9153200;-59522100;56.6
-9135000;-65545300;59.5
-9191400;-59384300;77.2
-9199100;-60889000;99.5
-9189500;-65786300;69.9
-9189600;-65767600;51.8
-9217600;-60907300;80.3
-9217700;-60888100;301.8
-9217800;-60868900;95.5
